Comment;Sentimen
Adili yg kekeh mbangun, siapa tahu ada indikasi korupsi;Negatif
Urgensi nya ga ada,dana nya di ada-ada 😂;Negatif
Yng membangun siapa, yng ngolah siapa yng bayar utang rakyat,giliran mau di gunain malah bayar, kan kacau itu.;Negatif
SURUH BAYAR DENGAN DUIT HASIL KORUPSI KELUARGA MULYONO;Negatif
Adili Jokowi 😡;Negatif
di dukung.. ganti nya nanggung dosa Jokowi;Negatif
Kami yakin bunga utang dgn China tak sampai 3,4%. Ini hrs di usut kebenaran nya. Krn yg terlibat semua Kelas Kakap.;Negatif
bisa ga sih tuntut jokowi;Negatif
Pusing hutang kereta cepat 118T, bagaimana dengan hutang pembelian alutsista ? Baru j10 bekas china saja sudah 149T gimana yg lainnya ?;Negatif
Terbukti sekarang..kai ga mampu bayar;Negatif
Kalo begitu mainnya licik sekali siasatnya😂😂;Negatif
Masalahnya emang orang indo nya juga ga se kaya itu buat perjalanan pp naik KCIC, yg rutin naik Woosh aja cuman orang yg bisnis trip, itupun prusahaan gede, itupun juga managerial level, bisa di itung jari itu cuman brapa persen dari penduduk Jakarta Bandung. Sisanya cuman naik sekali(cuman mau merasakan pengalaman aja). Emang rakyatnya masih miskin. Mau infrastruktur sebagus apapun juga kalau masih miskin yah pasti ngutang.;Negatif
Gak usah pusing pak prabowo, adili sj jkowi dan luhut, atau bapak memilih tetap korbankan rakyat dan terus menderita dan miskin seprti jkowi dulu 10 tahun;Negatif
Ayo pak Prabowo bangkitkan jiwa militermu, hidupkan macan asiamu, seluruh rakyat mendukungmu;Positif
"Terkait adanya hutang pengelola ""Kereta Cepat/Whoosh"" dari stasiun Jakarta - Bandung bolak-balik. 
*** Konsep Presiden RI ke-7 (Bapak Jokowidodo) dalam pikirannya adalah sudah benar, menginginkan Indonesia sebagai negara besar dan jakarta sebagai ibukota negaranya, agar rakyat Indonesia merasa sejajar dengan negara-negara besar dan maju simbol kereta cepat adalah bagian dari ciri-ciri negara tersebut adalah negara maju. 
*** Namun dalam perhitungan mengalami kerugian sudah sepantasnya dan pasti akan dialami, karena masyarakat jabodetabek untuk bertamasya menggunakan kereta cepat/whoosh berpergian dari jakarta ke Bandung/PP tidak efektif karena membutuhkan waktu lama baik menuju stasiun, maupun sudah berada di Bandung yang memerlukan ongkos transportasi tambahan seperti berpergian dengan mobil menjadi mahal (berbeda dari jabodetabek ke Bandung/PP dengan menggunakan mobil pribadi dapat berpergian kemana saja, sangat efesien waktu, dan biaya yang sangat murah;
*** Masyarakat pengguna ini kebanyakan hanya dari golongan untuk bertamasya alias ingin tahu kenyamanan saja, setelah pernah berpergian dengan kereta cepat/Whoosh pada umumnya tidak lagi untuk melakukan yang kedua kalinya (disinilah dampak sepinya penggunaan kereta cepat/whoosh dan berdampak mengalami kerugian). 
*** Hutang sebesar Rp. 16 triliunan tersebut bagi negara yang kaya raya minyak sangat kecil sekali (sekali jual beberapa kapal tengker uang Rp. 16 triliunan sudah tersedia, siapakah negara tersebut yaitu Arab Saudi atau persatuan negara Arab sekitarnya). 
*** Indonesia banyak sekali terdapat lembaga pesantren, baik yang sudah ternama sudah berdiri ratusan tahun, maupun telah berdiri lima puluhan tahun). 
**** KALAU BOLEH SARAN ****
1). Tawarkan ke pemerintahan atau konglomerat Arab Saudi, untuk dijual dan para petugas/pegawai, pejabat managemen kereta cepat/mode yang ada sekarang dipecat, dan diganti dengan :
--- alumni/alumnus tamatan anak-anak atau orang-orang dari pesantren, dan;
--- setingkat menejernya atau level supervisor diisi dari orang-orang alumni/alumnus hafal alquran;
--- GM dari orang Arab Saudi
2). Yang dijual dan menjadi pemilik manajemen, pengelola segala bentuk phisik area sepanjang selebar gedung, rel dan selebar 5 meter ki kiri, dan 5 meter ke kanan, menjadi hak pengelolaan sepenuhnya pihak manajemen kereta cepat/...
3). Agar pengelolaan kepemilikan menjadi hak pihak warga negara indonesia, pemerintah atau konglomerat Arab Saudi di dalam surat perjanjian jual beli atau akte jual beli terdapat prosentase hibah kepada Lembaga Pesantren Indonesia, sehingga tidak ada kesannya di belakang hari negara kita dijajah oleh bangsa lain;
4). Sehingga Arab Saudi dapat juga dapat berkontribusi dan beramal jeriah, dan mewujudkan penyerapan tenaga kerja baru khususnya pada masyarakat alumi/alumnus dari lembaga pesantren di indonesia. 
5). Satu-satunya meningkatkan penumpang kereta cepat/whoosh membuka jalur bus transjakarta antar stasiun dengan biaya/ongkos tetap dihitung setiap PP dengan masa berlaku selama 2/dua hari, tiket hanya berlaku untuk satu orang saja, dan jika dipergunakan orang lain yang masanya belum berakhir tidak masalah, (karena dalam rangka menarik minat pengunjung). 
Demikian semoga menjadi solusi, dan jakarta sebagai penyanggah ibukota negara, tetap jaya, Aamiin YRA.";Positif
ini masuk korupsi, kan merugikan negara;Negatif
Yg jelas prabowo sekarang yg dibuat pusing,, selain menjalankan program unggulan harus bayar utang peninggalan rezim sebelum nya yg ga sedikit, belum ada IKN yg velum jelas yg sudah menghabiskan uang negara yg ga kecil, mau di terusin ga ada uang nya mau di robohkan lagi ga enak sama yg sebelum nya😅😅😅;Negatif
debt trap;Negatif
Minta aja uang 11KT bayar utang kereta cepat 116T, kecil itu lansung lunas tanpa harus hutang sampai 80 tahun.;Negatif
Bukannya jakarta - padalarang?;Negatif
Trap kebijakan negara China bernama obor (One belt One road), udah banyak korban negara yg kena strategi policy begini;Negatif
Berarti audit kelayakan sejak awal bermasalah, kpk segera audit;Negatif
Diaudit KPK dan BPK;Negatif
Yg penting punya landmark sblm turun tahta ..pasti pemikiran boneka;Negatif
Ya, kita harus berterimakasih kepada Presiden sebelumnya yg sudah dengan gagah berani mengambil kebijakan ini, dan pemerintah sekarang tinggal menikmati hasilnya 😮😮😮;Negatif
yg bagus2 tidak berterimakasih sama Pak jokowi , jadi orang harus adil;Negatif
Aneh negara ini , Hambalang rugi terbengkalai tidak ada yg pusing;Negatif
kalo ge liat2 sebenernya bobroknya negara ini bukan krn prabowo gak bisa kerja, tapi gara2 masalah yg diwariskan mulyono;Negatif
"Suruh bayar sama yg utang..joko.
Proyek keras kepalanya di joko";Negatif
Ini gabisa dikasuskan kaya modelnya Tom Lembong?;Negatif
"Ngapain ada DANANTARA kalo urusan utang Whoosh saja masih ingin dibebankan ke APBN. Rakyat dan orang2 yg waras otaknya pasti setuju dengan sikap Menteri Keuangan. Membebankan utang Whoosh ke APBN akan memicu demo besar2an rakyat dan mahasiswa !!
Kalo perlu sebaiknya proyek kereta api cepat tsb harus diaudit investigasi !!!";Negatif
Cereta cepat itu dibangun hanya sebagai simbolik kemajuan indonesia fimata dunia bukan untuk cari untung seperti KAI atau BUMN bisnis lainnya.;Negatif
"""Saat jadi Presiden menyusahkan Rakyat, 
Saat jadi Rakyat menyusahkan Presiden""";Negatif
😅😅😅😅😅;Negatif
Ampuuun bosss😛;Negatif
Jios😂😂😂;Positif
Mulyono of Oslo;Negatif
Kalau cuma pembahasan TDK ada solusi ngapain bikin gaduh doang;Negatif
Masa rakyat suruh nyari solusi, kan ada pemerintah, yg buat regulasi DPR.. Mereka sudah digaji utk mencari solusi semua permasalahan rakyat;Negatif
WAHAI 10.000TERMUL NAIKLAH WHOOS 5X SEHARI SUPAYA UTANG LUNAS DALAM 50TAHUN;Negatif
"Aneh ya... Wooosh dan IKN sejak awal sudah berasa over proyek yg tidak diperlukan tapi dipaksakan. Gak usah jadi ahli atau masuk kabinet. Saya orang awam pun sudah mencium hal itu dari awal. Namun dipaksakan karena keserakahan. .
Mens Rea nya sudah kelihatan klo kata orang hukum. Perlu tindak pidana..";Negatif
Coba diselidiki dulu donk nama2 yg dapat fulus RC (retain commission) spy bertanggung jawab...karena harga nya naik 3x karena di mark up....di China....jepang paling murah kok jadi yg termahal diambil...wiiik;Negatif
Padahal urusan kereta cepat sudah mulai terurai cuma sabar saja karena semua bertahap ituu mesti pada melihat kenyataan pada beberapa waktu akan datang;Negatif
Nanti kalian akan malu seperti yang dulu dibuk bahas Ikn dengan nada negatif pada tiarap sekarang malu tuh deku;Negatif
Sedikit sedikit Mulyono i benci banget sama pak Jokowi;Negatif
kok KAI yg nalangi... pantesan tiket kereta jarak jauh naik terus...;Negatif
Jadi inget lagu, terimakasih pak jokowi;Negatif
Ijazah umpan lambung;Negatif
Pak pur dah nolak sekarang😅;Negatif
"Jokowi sekeluarga, organ tubuh mereka dijualin plus seluruh aset mereka, lumayan buat bayar utang whoosh. Mgkn organ tubuh yg namanya OTAK dan HATI yang ga akan laku dijual 😅😅

Negara memang harus turun tangan membantu membereskan masalah ini tapiiiiii si pelaku jokowi juga wajib diminta pertanggungjawabannya.";Negatif
suruh para termul naik KCIC tiap hari bolak balik agar pendapatan KCIC bertambah dan bisa bayar utangnya;Negatif
Maka nya pejabat harus ganty yg benar benar bijasah asly msh banyak org pintar utk audit itunk itungan yg tepat..jgn ijasah bajakan yg pura pura bodoh apalagy bodoh beneran asal bapak senank..sdh pasty negara rusak..pak prabowo bjiwa patriot harus berani ganty mentry pejabat yg benar pintar;Negatif
Pak pres sebenernye gak segede itu, itukan sampe segede itu karena udah di markup 3 kali lipet, ya rampas aje yg 2/3 nye;Negatif
Kalau ditelusuri lebih detail lagi mungkin dana APBN waktu itu juga dihambur2kan buat pemenangan salah satu capres pada pilpres yang lalu melalui berbagai macam kecurangan2 yang sistematis dengan memanipulasi data yang didukung penuh oleh sejumlah lembaga2 struktural maupun non struktural yang harusnya independen tanpa intervensi (cawe2) dari Seorang Kepala Pemerintahan serta melalui serangan fajarnya di sejumlah daerah hingga pengumpulan semua Kades ke istana agar mereka ikut mensukseskan ambisi & skenario awalnya yang ingin naik tahta (berkuasa) selama 3 periode namun gagal karena melanggar UU & konstitusi.. 🤣🤣🤣;Negatif
"TIDAK USAH PUSING...! APALAGI RISAU... 
SOAL UTANG ITU SEMUA SUDAH BIASA.. ( SEMUA NEGARA BESAR JUGA BERHUTANG) 

KERETA CEPAT.. MAJU TERUS SAMPE SURABAYA - BALI - LOMBOK... 

JANGAN KENDOR..! 

KALIAN JANGAN CENGENG..!";Positif
Jokowi adalah bapak pewaris hutang meroket sana sini yg bikin bangkrut negara kita tapi menguntungkan dirinya dan keluarganya..(ada kemungkinan dapat komisi dari cina kalo berhutang)....mending kereta cepat dialihkan ke para pengusaha raja tol yg ada di Indonesia,,,paksa mereka,jgn hanya mau untungnya doang...wakakakakkk...;Negatif
Pk prabowo juga sama mulai nyicil ikut ngutang untuk diwariskan ke amak cucu nanti di lihat sampai 5 tahun barapa warisan utang pk prabowo ,coba kritik aja pk prabowo ada enggak yg berani .kan semuwa partai kan sudah kuwalisi kimpet;Negatif
"Kok ijazah jangan dibahas... semua sama2 penting. Kalo terbukti ijazah palsu sama dgn menipu rakyat seluruh Indonesia dan UGM.
Agar tidak terulang.
Kalo kereta ini apa ada hub sm opung, emang berani sama opung";Negatif
byorka gtu ae dtgkap ini mpe rugi trilyunan masi punya jabatan😂🎉 konoha emas emg;Negatif
Proyek ambisius & ngawur Jokowi...sekarang semua dibuat repot;Negatif
Jokowi banyak pejabat yang dukung karena zaman jokowi itu banyak pembangunan (walaupun banyak hutang) yang mana proyeknya itu rawan sekali di mark up;Negatif
Jonas dipecat gara-gara gak setuju karena pasti merugi. apa sedang ngejar komisi proyek ?;Negatif
Kalau masih untung kenapa dirutnya curhat ? Jangan2 karena bonusnya berkurang ? 😀;Negatif
Yg ngerasain fasilitasnya 2 provinsi, yg nanggung seindonesia.. Mashaallah pemerintah konoha;Negatif
Gapapa santai aja ga usah khawatir tak bayari wkwkwk;Negatif
memang ngga ada yg becus pimpin negara ini .......cuma ganti gerbong aja..............;Negatif
kenapa pemerintah tidak punya uang tapi mau punya transportasi yang mewah?;Negatif
Ndak usah pusing Jokowi yang utang ya suruh bayar sendiri kok enak yang bayar orang lain;Negatif
Ngapain pusing..? KAI sudah di bawah Danantara..ada pemasukan deviden 90T th ini..bayar 2T buat whoosh mah enteng..;Negatif
Mana mau dia, kudu apbn yg nanggung;Negatif
​@dens4tmau lah..cuma namanya pebisnis kan kalo bisa ada cara yg lebih menguntungkan..dr pada buang duit 1000 perak buat 1 proyek, mending di jadiin jaminan bank buat bs bikin 100 proyek..;Positif
Biar gk jadi boncos jokowi n Luhut suruh ngankat keretanya kembilikan ke cina;Negatif
isian pemerintahan masih diisi oleh orang2 berengsek. dari dulu milih presiden pun terbaik dari yang terburuk, selalu. orang bersih nya aja malah pada dipenjara;Negatif
10 tahun mulyono menghancurkan 60 taun pembangunan negeri;Negatif
Termul mah blm sadar, daya rusak jokowi ±60 tahun baru lunas hutang ke cina;Negatif
pak Prabowo jangan mau bayar utang warisan Jokowi, bangga kok hasil utang. 😮;Negatif
menyebabkan kerugian negara triliunan akibat kebijakan kurang matang. halo kejaksaan;Negatif
Jokowi 😅😅😅😅;Negatif
klo nadiem di penjara karena salah kebijakan merugikan negara 1,9 triliun. nah kebijakan ini lebih nyata lagi menyebabkan kerugian negara 50x lipat dari chromebook.;Negatif
Mana termul2 biar makan rumput diragunan sama fufu fafa;Negatif
Kan kereta cepat jakarta-bandung ya dananya dari Pemda jakarta dan bandunglah biar enggak mangkrak;Negatif
Itulah, klu sustu proyek itu hanya ide seseorang dan kajian daru ahli tdk diterima dan mengabaikan kajian / pendapat ahli yaa begini jadinya. Mentang - mentang dia presiden lantad tdk menetima kajian seorang ahli. Skrg klu sfh begini JOKOWI TIDAK MAU TANGGUNG JAWAB, hanya METINGIS SAJA. BIADAB KAMU KOKOWI melempsrka / meninggalkan madalah rakyat yh hrs bertsnggung jawab.;Negatif
Dengar nama jokowi dan keluarganya, saya merasa mual, entahlah kok gini😢;Negatif
YNTKTS = Yo Ndak Tau Koq Tanya Saya;Negatif
Yg jls program KCP... menyalahi prosedur kelayakan dan kebermanfaatan...sbgn Nagara maju aja pikir pikir KCP,... kemungkinan besar dugaan ada kepentingan bisnis proyek yg untungnya triulan... Audit detail KCP...yg bersalah nanti ..tindak tegas scr hukum'.😢;Negatif
Calak dan pintar utang utan .bisa main kan ujung nya. Sita aja auuudiit;Negatif
Pusinglah jajan mulu utangnya banyak, ditagih banyak ngeles;Negatif
Sudah sepantasnya kebijakan2 seperti ini kita sebut dengan kejahatan dan semua orang yang terlibat hingga terealisasinya kejahatan ini di mintai pertanggung-jawaban. Karena jika tidak, maka hal serupa sangat amat bisa terulang dikemudian hari oleh orang-orang yang berpemikiran/berkepentingan serupa. Usut Tuntas !!! 👊;Negatif
Entah kebetulan atau tidak. Ide ini di terapkan di bumn yg sudah mulai membaik dri segi pelayanan. Seakan negri ini tidak boleh untuk maju😅😅😅;Negatif
Udh watak nya konoha yg penting utang dllu, kedepan nya ga usah bayar, rakyat nya juga ijutan yg penting pinjol dlu abis nikmati ga usah bayar lunas😂😂;Negatif
Kalau kereta cepat dibiayai pemerintah harga tiketnya harus diturunkan menjadi 100rb biar rakyat kecil bisa menikmati subsidi dari uang Negara subsidi pemerintah jangan dinikmati oleh orang kaya saja;Negatif
Pengen Tau Akhir Hidup Jokowi gimana, 1 indonesia di dzolimi;Negatif
JOKO JOKO JOKO,...🎉🎉🎉;Negatif
Pk Prabowo jngn pusing ini ursan mukidi luhut erik tohir mrk yg wajib kshan rakyat yg sekarat n bodoh ingt uu 45 mensejahtakn bkn d salah gunakn pk Purbaya sdh tgs amnah sdh memutuskn jngn pkai APBN jngn mksa jngn takut sm mukidi n luhut pk Prabowo jngn mksakn ingt rakyat amnah Allah;Negatif
"Pemerintah dan masyarakat seluruh Indonesia harus yakin suatu saat kereta cepat itu jadi Idola. 
Contohnya borobudur nenek moyang yang membuat candi itu tidak membayangkan kalo borobudur menjadi wisata mendunia. Faktanya bisa menghidupi seluruh wilayah sekitar bakan diluar wilayah. Tolong ambil higmahnya jangan kekurangan nya, wajar kalau sekarang belum untungnya kita karena baru 2 tahun berjalan";Positif
Daya Rusaknya parah sekali memang,Semoga menjadi pemberat diyaumil hisab kelak para pejabat yg menyusahkan Rakyatnya.;Negatif
Kalo kreta rugi trus ya buat narik tebu di pabrik gula;Negatif
Negara COLAPS.;Negatif
Usut semua keterlibatan jokowi dan orang orang yang terlibat merugikan negara;Negatif
Biar kan hukum internal cina yg ngadili jokowe Luhut bila hukum di NKRI tak berlaku buat termul termal;Negatif
Sered tuuuh tangan kana nya erik tohir arya sinulingga ,,tagih bitubi nya;Negatif
gimana kalo jokowi sekeluarga dan termulnya kita jual aja kekamboja, buat bayar hutang KCIC;Negatif
LUHUT BINSAR PANJAITAN DAN JOKOWI YANG HARUS DITANYA, BAGAIMANA DULU NEGOSISASINYA....MANA SUARANYA LUHUTT SEPERTI DULU YANG DENGAN LANTANG COBA BERI KETERANGAN KE RAKYAT BAGAIMANA SOLUSINYA...JANGAN DIAM AJA..!;Negatif
Luhut ..jokowi... perampasan aseet😂;Negatif
KCIC ruginya udah parahh, ini lagi lord luhut mau perpanjang KCIC sampe surabaya wkwk;Negatif
p Prabowo jangan mau di adu domba oleh RT 16 dan RW24 hati hati ingat sabda maling guna sacred bandit malaekat Jibril cs bersabda teman adalah lawan lawan adalah teman hati hati eling lan waspodo narasi narasi negatip dari RT16 dan RW 24 DNA DNA roh jahat RT16 RW 24 mengganggu pemerintahan yang sah yg didukung 250 juta an masarakat akar rumput hidup Prabowo Gibran dua(2) periode dua(2) periode hidup Prabowo Gibran hidup NKRI hidup NKRI NKRI harga mati;Positif
Jakarta bandung ada argo parahyangan. Jaraknyapun ga jauh. Kenapa harus ada kereta cepat.;Negatif
Jokowi, Luhut, Pratikno trio perusak negara. Ambil keputusan besar sangat sembrono, tdk memikirkan beban negara.;Negatif
Gus Dur : gak usah dipikirin kalo kita gak tau...kalo sudah tahu ngapain mikirinnya...konsep bahagia;Negatif
Kereta Cepat KL gak dipaksa juga gak mungkin 50 tahun -100 tahun Indonesia. Sekarang sudah jadi tinggal mikir bayar hutangnya kok pada bingung sih. Kl KOROPSI kok pinter2 mikirin hutang Kercep pada ribut, menang Orang Indonesia kok Goblog ya. Orang yg punya duit pada naik kenapa sih. Kl ngomong pinter2, mbacot lihey, kl ngangsur hutang bingung. Dirut KAI bingung MUNDUR dong.;Negatif
Mulyono dan opung hrs bayar hutang whooosssh;Negatif
Laba itu kan memang buat bayar hutang dulu? Ya ga sih? Kasarannya berarti mau nya dari pajak gt? Rakyat lagi yang bayar?;Negatif
Ayo mana nih jaksa dan kpk, sejarah ini mantan presiden masuk penjara;Negatif
Negara asean hanya mampu 😅😅;Negatif
Jokowi, Luhut sma Erik Tohir harus bertanggung jawab;Negatif
Setelah drama whoosh segera menyusul kejar tayang IKN 🤗 bintang utamanya masih belum muncul;Negatif
Untung buat perusahaan bukan ke negara giliran ruginya negara yg harus nanggung;Negatif
Emang enak....?? BERKELANJUTAN 😅😅😅😅😅😅😅😅😅;Negatif
jokowi harus di adili Karna merugikan Negara,;Negatif
Emang itu wajib aset aset kekayaan jkw,Luhut,dan anggota dewan .di sita...dan saya punya piling jangan jangan hasil markup kereta api cepat ini banyak digunakan dalam pilpres th 2024, kalau betul berarti Prabowo ikut menikmati..secara tidak langsung.;Negatif
"Kereta KUCLUK KUCLUK....
KEBANGGAAN. BOOMBASTIS
Nangis MIKIRIN UTANG......
JANGAN ADA YG BUNUH DIRI
YAAAA.......";Negatif
Utang...........utang.....utang.. kok kita sekarang ini topik viralnya uuutaaaaaang melulu.asalnya mana ya?;Negatif
Suruh yg ngambil kebijakan bayar pak.terlalu banyak masalah yg ditinggalkan oleh dia;Negatif
Bapak hutang indonesia, itulah mantan presiden kita, kebanggaan termul.;Negatif
Agar ketua DEN yang memikirkannya, syaratnya jangan melibatkan APBN;Negatif
Ya pantes tiap tahun Harga Tiket KAI semakin mahal tau nya Nombokinn Whosh,, Padahal KAI lagi bener bener MOTM di BUMN;Negatif
udah makan fee tapi gak mau tanggung jawab....;Negatif
