Review;Sentimen
TERLALU LEMOT, LOADINGNYA PARAH, LAMA BANGET. update bukannya bagus malah sama aja. untuk skrg aplikasi pemerintah yg paling bagus cuma JKN sisanya bintang 1;Negatif
kalau memeng sudah digital kenapa harus daftar offline dlu di depan petugas, ini rawan calo dan pungli sih menurut saya;Negatif
TOLONG DONG BARU AJA DAFTAR DI KECAMATAN UDAH BISA TINGGAL NUNGGUIN EMAIL BUAT AKTIVASI AKUN NYA GA MASUK MASUK UDH 24JAM DITUNGGUIN, HARUS NUNGGU BRP LAMA LAGI CUMA SECERCAH EMAIL DOANG LAMA NYA MINTA AMPUN;Negatif
S&k Nya kurang membantu masyarakat. ngapain pendaftaran harus offline;Negatif
sudah bisa lain hari buka malah hk bisa di buka malah suruh buatakun daftar lagi....aplikasi ripet seteleh update;Negatif
desain jelek, server lemot sering maintenance, gk jaminan data kita aman, sok2 an bikin digital tp dana gk maksimal ya gini, struktur apk nya ya ampuuuuun;Negatif
apaan udah daftar pin juga bener malah ga bisa kebuka... verifikasi salah lah ...;Negatif
UDAH MASUKKAN IDENTITAS BENAR KETIKA VERIFIKASI KOK GAGAL?? YG BENAR LAH BIKIN APLIKASI NYA;Negatif
Loading sangat lama, aplikasi jelek. Harusnya aplikasi negara itu berkualitas, aksesnya cepat, jadi kalo orang mau ngurus berkas itu mudah, cepat, satset, lah ini nunggu lama ada mungkin 1 jam. Tolong diperbaiki, upgrade kecepatannya dan tolong kalo udah pernah log in itu jangan tiba-tiba ke log out, ini mau masuk lagi susah, harus ulang aktivasi dari 0 lagi, ya kalo ngurusnya mudah, ga, harus lewat kecamatan lah, ini lah. Bukannya mempermudah malah mempersulit masyarakat, mau sampe kapan? stuck;Negatif
aplikasi minta di update,habis di update malah data tidak di temukan;Negatif
aplikasi apaan. kaya anak SMA suruh update malah hilang. tidak compentibel jelek banget;Negatif
Apa guna nya IKD kalau urusan di PT.POS & yg lainnya masih saja di persulit... Benar-benar tidak jelas fungsinya tidak bisa berlaku...;Negatif
apk pemerintah emng bobrok semua yaa? susah bet perasaan masuknya;Negatif
aplikasi nya aneh... blm punya akun disuruh daftar tapi pilihan nya daftar (offline) & sdh ppunya akun.. setelah daftar offline ternyata hrs scan QR petugas.. aplikasi kan di buat untuk mempermudah masyarakat yg tidak perlu hrs ke kelurahan.. bukannya mempersulit.. hadehh;Negatif
makin parah aja jadi gak bisa support sama sekali.kacau nih IT nya kenapa gak versi yang sebelumnya.saya gak bisa lihat data saya kalau begini caranya gimana coba.main ribet aja;Negatif
Online tp malah buat sengsara cara daftarnya hrs ke kantor gk masuk akal;Negatif
Ternyata daftarnya masih harus datang ke dukcapil. payah.;Negatif
KECEWA..... FUNGSI KAMERA VERMUK GAK BERFUNGSI;Negatif
aplikasi gak berguna. mau ajuin kk, akta kelahiran, dan KIA. harusnya bisa lewat online,,gara-gara IKD ini saya harus ke gedung capil untuk minta barcode,, abisin bensin dan waktu, tolong kalo bisa verifikasi langsung lewat email aja. gak usah berbelit2. katanya BerAKHLAK. gak smart ASN kayagini mah! manajemen nya kurang! diperbaiki lagi kinerja nya.;Negatif
aplikasi tidak berguna, tidak bisa digunakan dalam kehidupan sehari hari, tidak seperti identitas fisik/ KTP;Negatif
Tidak bisa di download kartu keluarga;Negatif
tdk bs scan qr;Negatif
geblek. digital aja kalo bisa sulit kenapa dipermudah.. ini apk anggarannya berapa T sih??;Negatif
tolong adakan opsi print KK donk, sudah digital tapi tetep aja pada menta fisik... copy KK habis nih;Negatif
aplikasi tidak berguna;Negatif
Lah kocak..klo mau bikin akun baru tetap harus dtg ke kantor nya & login didpn petugas nya..trs guna nya aplikasi online apaan klo ttp harus repot² dtg ke kantor??;Negatif
Ribet harus datang offline, padahal namanya E-KTP;Negatif
tetap tidak menyelesaikan permasalahan, musti datang ke kantor dukcapil, apa gunanya aplikasi kalo masih wajib ke kantor dukcapik kapan indonesia bisa maju buuuuruuuuukk!!!;Negatif
kurang efektif, diadakannya aplikasi itu untuk mempermudah proses online, ini harus verifikasi dulu datang ke dukcapil.. sangat tidak membantu;Negatif
gak kejamin data lu aman di nih aplikasi gw ragu server nya aja busuk bet sekelas aplikasi pemerintah;Negatif
mau Masuk di suruh Update, mau di Update tidak bisa ada peringatan Perangkat Hp anda tidak bisa menerima... server Pusat error...;Negatif
jelek banget;Negatif
APliKasi yang sangat sangat memBAGONGkan;Negatif
Aplikasi sampah... Selalu mendaftarkan ulang jika tidak dibuka lebih dari 1 minggu. Lebih baik tidak usah dipakai, hanya proyek pengadaan yang menyulitkan masyarakat;Negatif
UDAH PAKE GIMMICK ONLINE, DAFTAR AKUN MASIH HARUS OFFLINE? INI APLIKASI BUATAN KOREA UTARA APA GIMANA?;Negatif
jadi tidak ada fungsi;Negatif
aplikasi tidak berguna;Negatif
tidak puas;Negatif
APLIKASI CACAT MASA LUPA PIN HARUS KE KANTOR CAMAT/BALAI DESA, SEHARUSNYA TAMBAHKAN FITUR LUPA PIN NGEREPOTIN ORANG AJA;Negatif
sesudah di update aplikasi nya ga kebuka;Negatif
Susah dibuka.;Negatif
Bukannya mempermudah malah nyusahin. Orang lupa pin mau reset aja ngga ada. Belum bisa kah buat skala pemerintah codingnya?;Negatif
masyarakat di suruh ikutin aturan pemerintah, tapi aplikasi nya paraaah banget login aja susah ribetttt.... eror mulu kaga jelas...;Negatif
ribet aplikasinya nggak bisa efisien;Negatif
perangkat sudah gabisa lagi mau update;Negatif
"apa ni oi swapfto ga bisa"" sumpah klo aplikasi ga siap jngan di buplikasi n d bikin";Negatif
Apl ga jlas, ga guna pemerintah buat buat bgni klo aplnya semua eror;Negatif
aplikasi ruwet... harusnya lebih canggih... ini harus ke dispeduk... padahal ada fitur swacam... parah...;Negatif
birokrasi pemerintahan gada yg bener, namanya kan digital masa daftar harus depan petugas ???;Negatif
aps nya bukanya mempermudah malah mempersulit karena setiap membuka aplikasi nya kita harus lebih keseringan mengupdate.aps biasanya di update minimal sebulan skli lah ini kadang 2 kali seminggu;Negatif
gak guna, mau screenshot gak bisa dicetak langsung gak bisa, padahal butuh di print untuk kebutuhan perlengkaoan dokumen. udah tw apa2 dinegeri ini msh hars pake manual juga harusnya disertakan fitur yg bisa mendukung setidaknya print langsung.;Negatif
produk gagal ,;Negatif
Terburuk Susah login;Negatif
baru di update malah gak bisa di buka eror. ampun deh. nanti yang di salahin penguna ikd, padahal app ikd nya yang gak beres...;Negatif
jujur aja aku tuh kesel banget, kalo emang apk ini mempermudah kenapa begitu apk ini di perbarui, akunnya malah ilang dan ketika mendaftar lagi sesuai peraturan di apk kenapa tidak bisa dan itu selalu gagal untuk masuk ke akunya;Negatif
KONEKSI EROR PADAHAL JELAS JELAS SINYAL BANYAK APLIKASI GA BERKUALITAS;Negatif
aplikasi sering erorrr, gak tau niat bikin apa ngga ini;Negatif
seperti biasa aplikasi buatan pemerintah pasti error;Negatif
tambah anehh setelah update.. pas isi verifikasi pin ada tanda error terus.. padahal pin udah bener;Negatif
koneksi terputus trus;Negatif
kenapa ini aplikasi IKD kok tidak bisa digunakan lagi,ada apa ya,kok jadi error gini.;Negatif
sering error', please deh sekelas pelayanan publik begini kualitasnya, kalian kerjanya apa sih;Negatif
setelah ganti ponsel , pin saya jadi error, aplikasi aneh.;Negatif
anggaran negara dipakai membuat salah satu aplikasi yang gagal, mau daftar gagal terus. Developer/Coding nya kaga becus bikin aplikasi apa gimana. sini biar gua gantiin jadi developernya.;Negatif
Baru di update, gak bisa masuk..... Pin salah mulu. Aplikasi gak guna, Buatan makhluk² Negara konoha emang lebih banyak cacatnya;Negatif
gajelas bgt mau login susah, pin udah bener gabisa masuk eror terus. aplikasi pemerintah gaada yg bener satupun. kalo pun emang lupa pin gaada buat ganti nya kalo mau login susah haduh gimana sih ini aplikasi diupdate malah makin gajelas!!!!!;Negatif
ngotak dikit klo bikin aplikasi, d download ga bisa d screenshot g bisa, terus bisa nya cuma nampilin, klo lupa password cara gmna ga da button pilihannya.....;Negatif
aplikasi gk genah masa setiap mau masuk eror mulu;Negatif
parah,setelah update aplikasi,kenapa pin ga valid, padahal sebelum update aplikasi msh bisa pake pin yg sama hadehh;Negatif
habis update malah susah login.;Negatif
gak rekomendasi buat cek data;Negatif
Aplikasi tdk berguna ini.. cuma menuhin hp saja, td bisa untuk pengganti ktp. Bikin SIM SKCK harus ttp ada fisik dan alhasil harus foto pake hp lain karena tdk bisa d screenshoot.. Pdahal saat mau cetak ktp diarahkan pakai aplikasi nanti untuk pengurusan dokumen bisa dengan e ktp ini, nyatanya omong doang. Jangan sok sokan online kalau blm siap online. Kartu buat cetak ktp setiap tahun juga alasannya habis dibuat apa?? Cuma krtas aja ga adakah untuk anggarannya. Payaah payaah;Negatif
aplikasi paling Buruk sepanjang masa;Negatif
aplikasi setengah hati;Negatif
pendaftarannya harus offline tidak seperti aplikasi ducapil wilayah lain, mempersulit warga untuk urus administrasi dan berbagai dokumen. percuma aja ada aplikasi kalau daftarnya harus tetep offline mempersulit warga yang berada di perantauan.;Negatif
mau daftar online, tapi harus dihadapan petugas. apa bedanya dg daftar offline... ? online yang mengofflinekan....;Negatif
apakah bisa buat kia anak?;Negatif
dari dulu apikasi dri pemerintah emang tolol dan kalah dr swasta. yg namanya online ya online. ngapain pendaftaran baru di suruh datang ke kantor untuk menerima barcode. itu sama aja dg offline. kan tolol;Negatif
aplikasi kaleng data nggak bisa di unduh maupun di screenshoot stop bikin aplikasi. nggak ad yg jelas ke gunaan.;Negatif
Aplikasi asal jadi.baru beberapa hari gak buka setiap mau masuk di suruh daftar lagi,setelah masuk disuruh update lagi.aplikasi bikin tambah ribet pokoknya aplikasi dan kantor Dispenduk sama2 ribetnya;Negatif
tengik x aplikasi nya ah, sistem digital, pendaftaran gak bisa online, padahal informasi data diri sdh lengkap .. mulai dr no hp, email dan nik smp foto diri ... harus pulak lg ke kantor di darat ... bikin keq 2 option pendaftaran ...;Negatif
ANGGARAN SAJA GEDE... APLIKASI TIDAK BERGUNA..;Negatif
aplikasi belum siap tp udah kejar tayang, jadinya baru 3hr lalu update gara² ga bisa buka, ini udah minta update lagi... hadeeehhh, kalo bisa NOL juga gue kasij NOL.;Negatif
bikin susah aja,malah gak bisa login setelah update;Negatif
kalau skin kekantor sama aja boong online Manding di kantor sakalian;Negatif
ruet, tiap kali harus isi data ulang jika ada pembaharuan web. buat aplikasi yang memudahkan;Negatif
Malah koneksi server gagal, pdhl koneksi internet nya bener²bagus loh;Negatif
sampah!;Negatif
bikin capek. aplikasi kalau d buka sering di arahkan ke pendaftaran. saat pendaftaran berhasilpun nanti nggak lama akan seperti itu lagi.🤭;Negatif
tolong di tambahkan Unduh Dokumen yah. Karena agak ribet lagi untuk proses Cetak Dokumen. ini Aplikasi kek ngak Guna juga ngak tau buat apa. katanya Digital tapi tapi Masi minta Fisik lagi saat pengurusan.;Negatif
aplikasi masih mentah, masa mau ngambil PIN dan barcode harus ke dukcapil alias offline ya sama aja. orang pengen buat via online biar simple kok di persulit, gimana PUNGLI mau diberantas.;Negatif
Kelihatan banget kalau hanya sebuah proyek. Dulu sudah pernah mendaftar, sekarang diminta mendaftar lagi, tdk bisa langsung login. Parah banget.;Negatif
tidak dapat login;Negatif
Data KTP, KK sampai nomor telepon bocor ke bank, pinjol dan tlp2 ga jelas. byk penipuan tlp dan pura2 dari kelurahan abis download aplikasi ini. Mereka semua tau nomor hp,nomor ktp bahkan sampai anggota di KK semua keliatan. Aplikasi ky gini keamanannya ga jelas bgt sumpah.;Negatif
maaf aplikasinya sulit (tolong di permudah);Negatif
apknya tidak bisa dibuka kenapa tolong minta sosulinya;Negatif
kok gitu logo app IKD logo garuda merah putih gua suka! kayak gak ada niat buat logo IKD;Negatif
Mau mencetak KK secara online. tetapi sudah 3 hari pengajuan belum disetujui/tidak ada progres sama sekali. seperti tidak ada petugas yang menindaklanjuti permohonan.;Negatif
kocak banget minta Izin akses foto dan video, pencet tombol tidak diizinkan lalu aplikasi gabisa dipake. LAH BANGET;Negatif
gak guna;Negatif
Aplikasi menyatakan bahwa OS Android yang diperlukan adalah versi 8.0 atau lebih baru. saya versi 11 tapi aplikasi masih tetap tidak bisa saya gunakan, aplikasi tidak kompatibel dengan versi android perangkat. developer tolong ini di Patch segera.;Negatif
aplikasi layanan publik tapi bisa ga kompitable dengan android versi 9, harus nya aplikasi ini dibuat untuk semua versi android agar semua masyarakat bisa mengaksesnya;Negatif
Aplikasi pertama okelah membantu.... Tapi setelah di perbarui langsung ngga bisa di buka;Negatif
gak bisa di akses;Negatif
apa gunanya aplikasi ini jika pendaftaran harus dilakukan secara offline dan tidak bisa mendaftarkan secara online.;Negatif
tidak bisa daftar eror terus;Negatif
negara buang² duit untuk apk gak guna,,selalu minta activasi ulang yg bikin repot walaupun sudah ada biometrik sidik jari tetep ngga fungsi;Negatif
Beberapa bulan lalu masih bisa di buka. tetapi baru beberapa minggu ini mau sya buka minta update versi, tapi di HP android versi 10 tidak di dukung. alhasil tidak bisa terunduh di HP & tidak berfungsi. tolong suportnya untuk android versi 10;Negatif
g jelas asli, gw udh daftar dulu terus mau login pin juga gw catet nggak di rubah malah nggak bisa, asli g jelas, lu buang buang anggaran. nggak ikd nggak web npwp sama aja;Negatif
jyaannn....ORA MUTU..!!! apk online ndadak daftar offline... mbok dibuat mudah aja gitu lho... apk pemerintah Ki lho mesti ra enek sg beressss .. malah ngeribeti;Negatif
suka error di Sruh download ulang pas SDH download perbarui. ngak bisa buka ikd nya..;Negatif
sangat ribet menggunakan aplikasi ini tidak semua hp bisa pakai;Negatif
JANGAN UNDUH NANTI MENYESAL. alah percuma download klo jatuhnya tetep harus ke dukcapil buat daftar. pdhl skrg vermuk bisa lwat hp. intinya smpe dukcapil sama aja bnyk calo. trus gmn yg merantau jauh yg memang blm bisa plng tp btuh data KK nya? percuma mau ambil kesempatan jg. BIKIN APK CUMA BUAT CARI DUIT AJA INI MAH;Negatif
aplikasinya susah buat logon minta password tpi ngak tau gimana dapatkannya. mempersulit masyarkat mau ngurus lewat online aja. aplikasi ngak ada guna ini;Negatif
kelurahan kapuk..... saya pernah kehilangan KTP tahun 2022, sudah bikin KTP baru tapi di alihkan ke KTP Digital, alasan blanko tidak ada... tahun ini 2025 saya mau cetak KTP lagi tidak bisa dengan alasan tidak ada bukti kehilangan!!!! kan tablo udah bikin lama minta e-KTP di suruh bikin KTP Digital sekarang saya mau cetak KTP say sendiri malah di persulit.. yang ngurus KTP saya dari dulu pihak kelurahan bukan saya kenapa saya yang di persulit mendapatkan indetitas saya sendiri. nyusahin masyarak;Negatif
susah dimasuknya;Negatif
"Pengembang aplikasi buruk. ""Aplikasi Layanan Publik"".. Masalah Server,Bug dalam pembaruan aja gak bisa diatasi!! bintang ⭐ satu pun gak layak.";Negatif
tolong admin! ini IKD kenapa perangkat saya tidak bisa mendownload apk nya padahal perangkat saya android versi 12.. tolong di perbaiki lagi apk nya;Negatif
jelek saya ga bisa nginstal, padahal android versi 12;Negatif
buruk;Negatif
bukti kemendagri dan teamnya nggak becus. hanya menyusahkan masyarakat. aplikasi kalian nggak kompatibel dengan android versi terbaru. pas mau update kok perangkat saya tidak kompatibel. padahal sebelumnya aman aman saja. aplikasi menyusahkan;Negatif
stengah update TDK bs perpabrui lagi;Negatif
masak habis update GK bisa di buka trus katanya apk tidak mendukung di ponsel anda ini gmn ini;Negatif
perangkat tidak kompitable. padahal versi andoroid sudah terbaru, kemarin² juga normal² aja pas dibutuhin buka aplikasinya malah suruh update pas mau diupdate gabisa;Negatif
sama aja boong, harus ke kantor kantor juga... nanggung amat mau mempermudah tapi jadi sama aja harus pulang kampung, juga untuk datang ke kantor;Negatif
sudah punya akun dan sudah input kode pin dr email dukcapil malah keluar pop up message data tidak valid;Negatif
wkwkw aplikasi pemerintah tapi kayak aplikasi bocah SD . kalah sama moballegend. dulu udah daftar sekarang gak bisa masuk lagi harus daftar ulang login gak masuk ..yang buat aplikasi ini lulusan ap sih hadeh ... buruk bgt ...;Negatif
APP GAK GUNA !! KATANYA SERBA DIGITAL, TAPI TETAP AJA HARUS MANUAL;Negatif
logout mulu;Negatif
APLIKASI TIDAK BERGUNA BUANG BUANG UANG RAKYAT. MAU DI PAKAI HARUS BUTUH FISIKNYA. TERUS APLIKASI INI UNTUK APA..???;Negatif
ni app apaan dah.. d suruh daftar mulu prasaan gk bisa download KTP KK juga,, aneh nih app;Negatif
sayang sekali tidak ada pendaftaran ONLINE,kudu datang ke disdukcapil,,kurang efektif,,dan TIDAK MEMPERMUDAH URUSAN PEMBUATAN,;Negatif
tidak berfungsi. Aplikasi tidak guna.;Negatif
ga bisa urus full online. baru mau daftar aja harus ke kantor capil dulu;Negatif
aplikasi diskubcapil nya tidak akurat selalu berulang-ulang & tdk jls. 👎👎👎👎👎;Negatif
sangat buruk, sudah memasukan pin dg benar sampai sidikjaripun tidak bisa masuk.;Negatif
app ga ada gunanya,ga bisa di ss,ga bisa di bagikan,sedangkan kenyataannya masih perlu dokumen pendukung asli tuk berkas ke p3k,tolong perbaiki lagi,atw bubarin aja ikd;Negatif
pengajuan bikin akta lahir tanpak NIK sudah seminggu gak ada respon.. pokoknya sistem yang berhubungan dengan pemerintah payaahhhhh;Negatif
tidak ramah bintang 1;Negatif
Masukkan, Tolong ditambahkan menu buat pembuatan akta atau lainnya juga biar bisa memudahkan kita mengurus dokumen tanpa harus antri di kantor capil, tolong sediakan juga biar kita bisa download file nya;Negatif
aplikasi bobrok buang2 anggaran. mau lebih simpel malah tambah dipersulit. klo harus bulak balik ke disdukcapil yg sekalian ga usah online. Blog..!;Negatif
tolong yang buat ini apakah tidak dapat akses offline dan tolong beberapa android tidak support tolong perbaiki minimal android nya;Negatif
apa yang mau kalian harapkan dari aplikasi bobrok milik pemerintahan korup? ini jangan bilang proyek IKD ada indikasi korupsi yah😂?? udah lah UI nya jelek banget kayak buatan anak SMA, sistem update mulu tapi hasil nya nihil, aturan mah kalo mau masuk itu cantumin gmail ama pass IKD aja kali kayak waktu daftar di kelurahan terkait..gak usah ngisi lagi sama swafofo lagi. Asli goblok,tolol,idiot nya murni banget gak di buat buat;Negatif
gak bisa di pakai eror gak bisa di buka;Negatif
aplikasi ini kurang membantu karena untuk unduh foto kartu keluarga aja gabisa hadeh gaada akses nya padahal butuh buat di print.;Negatif
verikasi ngga bisa masuk;Negatif
duhh aplikasi model apa ya? ribet banget balik mulu ke setelan;Negatif
lupa pin, atau salah pin. rasanya tidak lupa. cuman ga bisa bisa. seharusnya ada fitur reset pin. ini aplikasi kalah banget dari aplikasi lainnya, tidak user friendly;Negatif
kenapa kok di hp saya gk bisa buka dan download kembali ikd.. katanya laporkan ke developer mksdnya apa ya?;Negatif
setiap mau foto muka selalu ngebug Mulu kg ke foto sama sekali;Negatif
update trs. apk gak kepake jg. trus log out trs;Negatif
Fitur cetak kk kok gk ada?;Negatif
aplikasi aneh, ribet, dan ga guna, udah daftar lewat kelurahan sekarang malah ga bisa login;Negatif
tidak bisa login;Negatif
parah...aplikasi negara kayak gini..;Negatif
semakin hari IKD semakin gak jelas saja. dan alhamdulillah aplikasi ini bisa bikin pusing. meskipun gak berguna. Ini aplikasi kependudukan atau aplikasi hipnotis? Kok muter muter terus;Negatif
Ditelpon orang untuk download Aplikasi ini ternyata untuk membobol Data mbanking dan lain lain Hati Hati Guys;Negatif
setelah di update tidak bisa dibuka sama sekali.. memuat ulang terus;Negatif
Ekosistem aplikasinya tidak berfungsi dengan baik. Masalah yang sama selalu muncul seperti saat scan barcode sering error.;Negatif
koneksi terputus terus menerus, padahal internet aman;Negatif
habis update malah gak bisa login koneksi terputus tok ae,,,hadeeeh percuma di gala kan ikd tapi ttp ae sulit login nya;Negatif
ini gmna gk bsa login,,bnyak bnget bug ny,,;Negatif
terlalu sering eror dan susah dibuka. mohon segera diperbaiki bug nya trima kasih.;Negatif
rinet..malah perangkat dibilang gak kompetibel sm developer...;Negatif
Seharusnya aplikasi seperti ini mempermudah masyarakat, tetapi aktualnya sangat tidak membantu;Negatif
aplikasi gk jelas, ada update aplikasi tpi pas saya login validasi PIN nya malah salah, padahal pin nya udh disamain dengan yang aplikasi lama masa saya harus ke dukcapil lagi? mana katanya aplikasi yang memudahkan? malah merepotkan;Negatif
"Sudah di daftarkan lewat balai desa, saya mau buka aplikasi lagi setelah beberapa bulan. Pas dibuka lagi aplikasi nya eror, sudah saya coba update aplikasinya pas dibuka tetap sama ""terjadi kegagalan koneksi terputus"". Kalau koneksi yang dimaksud itu koneksi internet, jelas nggak masalah karena internet saya bisa dipakai buktinya saya bisa mengirim review ini. Tolong segera di perbaiki, jujur ini sangat menguras emosi.";Negatif
kenapa sih gagal terus buat login skalinya bisa disuruh isi data ulang ribetin banget, kalo emang uda niat pake IKD ya tolong la dipermudah pake ahli IT yg bener2 ahli jgn dr titipan;Negatif
masih harus ke dukcapil domisili,;Negatif
aplikasi tidak bisa di install;Negatif
gabisa masuk aplikasi karna updet;Negatif
Aplikasinya TDK kompatible dgn perangkat sy.;Negatif
menurut saya ikd GK ada fungsi nya, tetap juga ditanya KTP asli,;Negatif
tidak ada gunanya, percuma, masih tidak bisa digunakan sepenuhnya atau bahkan separuhnya;Negatif
Ga salah tuh tampilan ktp digitalnya culun banget, berasa kaya editan bocah SD;Negatif
kacau;Negatif
buang buang kuota aja.. sudah punya akun tp pas mau masuk lagi balik kaya buka pertama lagi dan susah ga bisa masuk juga... aplikasi ga guna;Negatif
upaya login perlu verifikasi dan lama. tidak cocok untuk urusan mendesak dan dipakai ditempat yg memerlukan E-KTP seperti Bandara karena upaya login yg tidak mudah. seharusnya berikan upaya mudah seperti login Mbanking;Negatif
makin kacau gak bisa di update dan harus menghubungi devolever. harus ke ducapil dulu.... makin susah ajah;Negatif
susah sekali untuk daftarnya, swafotonya ga masuk2.;Negatif
semua izin sudah diizinkan masih aja blm bisa masuk dengan alasan membutuhkan izin akses. dana yg dikeluarkan banyak hasil g jelas. hhadeh;Negatif
knpa aplikasi GK bisa di buka stelah perbarui;Negatif
aplikasi apa , ... baru mau di buka minta izin akses ke media penyimpanan.. dah gitu doang ... kalau belum bisa bikin aplikasi tidur saja ... nambah-nambahin anggaran negara .... !!!;Negatif
entah itu situs web ataupun aplikasi buatan pemerintah pasti bobrok !! error, lola, susah login dan banyak kutu nya. kenapa bisa begitu ya? apa emang udah bawaan dari lahir? apk premature buru-buru di launching!! aplikasi parah ini mah, mesti di bawa ke UGD;Negatif
niat mempermudah malah mempersulit, kendala sama dengan kebanyakan yang beri bintang 1.;Negatif
sangat mengecewakan, ketika aplikasi dibuka kenapa kok harus daftar lagi, masak setiap kali buka harus daftar terus....,niat bikin aplikasi bukannya mempermudah kok malah merepotkan....;Negatif
gimna konsepnya harus dftr pke kode QR TPI harus berhadapan petugas lah ngpain dibikin apk;Negatif
aplikasi paling menjengkelkan...... sudah pernah mendaftar. setiap mau masuk harus verifikasi.;Negatif
upgrade makin elek;Negatif
maksa mau izin media foto dan video;Negatif
kocak. setelah update malah tidak support di hp gw, pdhal android 10. contoh noh developer whatsapp support di semua perangkat termasuk android 5/modifikasi.;Negatif
Aplikasi tidak kompatibel dengan perangkat saya.... Apa apaan ini Broo 👎🏻👎🏻👎🏻👎🏻👎🏻;Negatif
seharusnya gak perlu minta kode QR lagi ke dukcapil. seharusnya bisa daftar dan aktivasi online.;Negatif
Habis update PIN login saya tidak dapat di akses;Negatif
apk rusak kemarin bisa dibuka sekarang ga bisa dibuka ..disuruh update tapi ga bisa.hapus aja lah sampah;Negatif
scan QR.. trus verifikasi.. kaya ribet aja apk kaya gini;Negatif
aplikasi gak guna. mungkin dibuat anak SMA, kali. sistem informasi kependudukan ini berubah ubah tanpa pemberitahuan dan juga password jadi hilang juga, tidak bisa diandalkan untuk dibuka cepat, dukcapil atau instansi pemerintah lainnya masih minta KK atau KTP dalam bentuk fisik.;Negatif
apk aneh ,,, perasaan lebih gampang masuk apk judol ketimbang apk pemerintah ini ribet bener bre 🥳😅;Negatif
aplikasi paling gak berguna dan gak ada fungsinya. ke Bank BUMN dengan menunjukkan aplikasi IKD ditolak, tetap butuh KTP Fisik;Negatif
susah;Negatif
katnya online tapi daftarnya offline ANEH;Negatif
kualitasnya sangat buruk sekali.habis pembaruan data hilang sangat mengecewakan sekali..;Negatif
yg menjabat bagian duckcapil lbh seleksi lg. ngapain adain cek data online kalau perlu scan kode qr, yg harus dari petugas? coba ya kalau tetap harus ketemu muka kalian ngapain suruh donlot. ga guna bgt.;Negatif
burik;Negatif
Ribettt;Negatif
aneh bgt kita downlod apl tuh biar ngga usah repot ke dukcapil ini malah mau daftar harus scan cr dulu gaje bettt dahhhh, aturan tuh ada apl kita tinggal urus semua di online gaje gaje;Negatif
ngapain bikin aplikasi klo daftarnya aja masih harus ke kantor. emang gk guna;Negatif
tidak bisa login, verifikasi swafoto camera error terus. >>> SWAFOTO ERROR <<<;Negatif
"mau cetak KK aja ribet banget, harus searching dulu caranya. sudah dapat caranya, menu ""CETAK KK"" tidak ada. Alamak, aplikasi apa ini? apa gak dicoba dulu sebelumnya apakah mudah digunakan atau tidak. Data gw yang mau gw pakai, tapi susah amat diambilnya. mending yang dulu, dah ada aslinya, Kl ada perlu tinggal foto copy. Apa gak malu ini? seluruh warga INDONESIA menggunakan aplikasi ini utk data kependudukannya tapi aplikasinya gak mendukung. Malu saya sebagai warga Indonesia.";Negatif
